id,view_date,views
159,2019-09-23,3136
160,2019-09-24,8227
161,2019-09-25,5780
162,2019-09-26,8635
163,2019-09-27,1917
164,2019-09-28,5140
165,2019-09-29,173
166,2019-09-30,7365
167,2019-10-01,6367
168,2019-10-02,3821
169,2019-10-03,8276
170,2019-10-04,9016
171,2019-10-05,2683
172,2019-10-06,3975
173,2019-10-07,3101
174,2019-10-08,7886
175,2019-10-09,304
176,2019-10-10,6444
177,2019-10-11,5528
178,2019-10-12,4643
179,2019-10-13,8520
180,2019-10-14,4491
181,2019-10-15,857
182,2019-10-16,3642
183,2019-10-17,2894
184,2019-10-18,7252
185,2019-10-19,9789
186,2019-10-20,4188
187,2019-10-21,4898
188,2019-10-22,4090
189,2019-10-23,2393
190,2019-10-24,3180
191,2019-10-25,7080
192,2019-10-26,4784
193,2019-10-27,3246
194,2019-10-28,7253
195,2019-10-29,9886
196,2019-10-30,5019
197,2019-10-31,2634
198,2019-11-01,4403
199,2019-11-02,4984
200,2019-11-03,3803
201,2019-11-04,6124
202,2019-11-05,6438
203,2019-11-06,2202
204,2019-11-07,5344
205,2019-11-08,9938
206,2019-11-09,3494
207,2019-11-10,5153
208,2019-11-11,7307
209,2019-11-12,9309
210,2019-11-13,2414
211,2019-11-14,541
212,2019-11-15,5897
213,2019-11-16,8479
214,2019-11-17,1088
215,2019-11-18,199
216,2019-11-19,2728
217,2019-11-20,6704
218,2019-11-21,8219
219,2019-11-22,2715
220,2019-11-23,3855
221,2019-11-24,594
222,2019-11-25,7521
223,2019-11-26,1137
224,2019-11-27,6744
225,2019-11-28,1001
226,2019-11-29,8512
227,2019-11-30,3712
228,2019-12-01,7163
229,2019-12-02,6314
230,2019-12-03,7268
231,2019-12-04,8690
232,2019-12-05,1628
233,2019-12-06,6487
234,2019-12-07,5561
235,2019-12-08,885
236,2019-12-09,4755
237,2019-12-10,4078
238,2019-12-11,2024
239,2019-12-12,6103
240,2019-12-13,4247
241,2019-12-14,1521
242,2019-12-15,5489
243,2019-12-16,4641
244,2019-12-17,9125
245,2019-12-18,1033
246,2019-12-19,7361
247,2019-12-20,5166
248,2019-12-21,6417
249,2019-12-22,2110
250,2019-12-23,9691
251,2019-12-24,467
252,2019-12-25,5603
253,2019-12-26,4692
254,2019-12-27,283
255,2019-12-28,8673
256,2019-12-29,6334
257,2019-12-30,5418
258,2019-12-31,5181
259,2020-01-01,7774
260,2020-01-02,6509
261,2020-01-03,8947
262,2020-01-04,5346
263,2020-01-05,5099
264,2020-01-06,4847
265,2020-01-07,1301
266,2020-01-08,2490
267,2020-01-09,4051
268,2020-01-10,3870
269,2020-01-11,6400
270,2020-01-12,2139
271,2020-01-13,4055
272,2020-01-14,9224
273,2020-01-15,7197
274,2020-01-16,5753
275,2020-01-17,753
276,2020-01-18,9000
277,2020-01-19,7946
278,2020-01-20,2120
279,2020-01-21,4089
280,2020-01-22,593
281,2020-01-23,4089
282,2020-01-24,3495
283,2020-01-25,2955
284,2020-01-26,9247
285,2020-01-27,7025
286,2020-01-28,2876
287,2020-01-29,9179
288,2020-01-30,8719
289,2020-01-31,3457
290,2020-02-01,1028
291,2020-02-02,4462
292,2020-02-03,4095
293,2020-02-04,427
294,2020-02-05,3975
295,2020-02-06,9395
296,2020-02-07,3589
297,2020-02-08,3588
298,2020-02-09,1326
299,2020-02-10,1617
300,2020-02-11,8716
301,2020-02-12,9469
302,2020-02-13,6191
303,2020-02-14,8194
304,2020-02-15,3010
305,2020-02-16,9652
306,2020-02-17,6358
307,2020-02-18,8631
308,2020-02-19,2260
309,2020-02-20,6626
310,2020-02-21,6165
311,2020-02-22,2326
312,2020-02-23,1370
313,2020-02-24,9800
314,2020-02-25,9579
315,2020-02-26,9744
316,2020-02-27,1317
317,2020-02-28,2701
318,2020-02-29,3186
319,2020-03-01,3125
320,2020-03-02,9642
321,2020-03-03,6617
322,2020-03-04,5799
323,2020-03-05,3384
324,2020-03-06,9107
325,2020-03-07,1164
326,2020-03-08,8838
327,2020-03-09,7182
328,2020-03-10,7397
329,2020-03-11,153
330,2020-03-12,5256
331,2020-03-13,9889
332,2020-03-14,5602
333,2020-03-15,7248
334,2020-03-16,9151
335,2020-03-17,5296
336,2020-03-18,5191
337,2020-03-19,8515
338,2020-03-20,7244
339,2020-03-21,9060
340,2020-03-22,5414
341,2020-03-23,9566
342,2020-03-24,6484
343,2020-03-25,7286
344,2020-03-26,9631
345,2020-03-27,5238
346,2020-03-28,3742
347,2020-03-29,7685
348,2020-03-30,4250
349,2020-03-31,7427
350,2020-04-01,5767
351,2020-04-02,4747
352,2020-04-03,1468
353,2020-04-04,7175
354,2020-04-05,2267
355,2020-04-06,6250
356,2020-04-07,9426
357,2020-04-08,8668
358,2020-04-09,8707
359,2020-04-10,3889
360,2020-04-11,5155
361,2020-04-12,7751
362,2020-04-13,2924
363,2020-04-14,6285
364,2020-04-15,4330
365,2020-04-16,3771
366,2020-04-17,8631
367,2020-04-18,4613
368,2020-04-19,5239
369,2020-04-20,1466
370,2020-04-21,338
371,2020-04-22,7770
372,2020-04-23,4324
373,2020-04-24,3947
374,2020-04-25,7861
375,2020-04-26,111
376,2020-04-27,4733
377,2020-04-28,6165
378,2020-04-29,6588
379,2020-04-30,5399
380,2020-05-01,8845
381,2020-05-02,4162
382,2020-05-03,394
383,2020-05-04,8821
384,2020-05-05,9193
385,2020-05-06,5951
386,2020-05-07,5049
387,2020-05-08,7796
388,2020-05-09,3984
389,2020-05-10,671
390,2020-05-11,5715
391,2020-05-12,2904
392,2020-05-13,2448
393,2020-05-14,7235
394,2020-05-15,4252
395,2020-05-16,9736
396,2020-05-17,126
397,2020-05-18,4014
398,2020-05-19,2008
399,2020-05-20,3563
400,2020-05-21,3999
401,2020-05-22,5838
402,2020-05-23,7773
403,2020-05-24,787
404,2020-05-25,9011
405,2020-05-26,2391
406,2020-05-27,7438
407,2020-05-28,9197
408,2020-05-29,1682
409,2020-05-30,902
410,2020-05-31,1161
411,2020-06-01,6125
412,2020-06-02,1683
413,2020-06-03,4777
414,2020-06-04,5370
415,2020-06-05,8454
416,2020-06-06,6347
417,2020-06-07,1043
418,2020-06-08,7699
419,2020-06-09,3463
420,2020-06-10,3251
421,2020-06-11,7763
422,2020-06-12,3578
423,2020-06-13,1595
424,2020-06-14,7831
425,2020-06-15,6793
426,2020-06-16,4614
427,2020-06-17,3752
428,2020-06-18,5317
429,2020-06-19,9918
430,2020-06-20,9284
431,2020-06-21,3702
432,2020-06-22,9020
433,2020-06-23,5221
434,2020-06-24,8096
435,2020-06-25,9901
436,2020-06-26,5454
437,2020-06-27,4468
438,2020-06-28,7918
439,2020-06-29,7960
440,2020-06-30,8119
441,2020-07-01,1118
442,2020-07-02,7480
443,2020-07-03,8502
444,2020-07-04,2914
445,2020-07-05,3268
446,2020-07-06,8421
447,2020-07-07,6811
448,2020-07-08,2956
449,2020-07-09,3034
450,2020-07-10,6517
451,2020-07-11,4826
452,2020-07-12,6021
453,2020-07-13,4569
454,2020-07-14,777
455,2020-07-15,4549
456,2020-07-16,5318
457,2020-07-17,4950
458,2020-07-18,2732
459,2020-07-19,2415
460,2020-07-20,3713
461,2020-07-21,3770
462,2020-07-22,167
463,2020-07-23,7210
464,2020-07-24,9031
465,2020-07-25,1228
466,2020-07-26,2543
467,2020-07-27,4782
468,2020-07-28,8986
469,2020-07-29,7866
470,2020-07-30,4744
471,2020-07-31,1120
472,2020-08-01,4296
473,2020-08-02,4641
474,2020-08-03,9209
475,2020-08-04,6585
476,2020-08-05,1500
477,2020-08-06,974
478,2020-08-07,6509
479,2020-08-08,1114
480,2020-08-09,8089
481,2020-08-10,3333
482,2020-08-11,7294
483,2020-08-12,6249
484,2020-08-13,2386
485,2020-08-14,7564
486,2020-08-15,2382
487,2020-08-16,6164
488,2020-08-17,8783
489,2020-08-18,5446
490,2020-08-19,2096
491,2020-08-20,6070
492,2020-08-21,8900
493,2020-08-22,6159
494,2020-08-23,7570
495,2020-08-24,818
496,2020-08-25,6611
497,2020-08-26,794
498,2020-08-27,2264
499,2020-08-28,9624
500,2020-08-29,3130
501,2020-08-30,329
502,2020-08-31,5471
503,2020-09-01,306
504,2020-09-02,9206
505,2020-09-03,2988
506,2020-09-04,743
507,2020-09-05,9152
508,2020-09-06,4128
509,2020-09-07,4501
510,2020-09-08,4407
511,2020-09-09,1324
512,2020-09-10,2530
513,2020-09-11,317
514,2020-09-12,7845
515,2020-09-13,1168
516,2020-09-14,6886
517,2020-09-15,5919
518,2020-09-16,3886
519,2020-09-17,9092
520,2020-09-18,493
521,2020-09-19,7675
522,2020-09-20,7274
523,2020-09-21,8728
524,2020-09-22,3215
525,2020-09-23,8688
526,2020-09-24,200
527,2020-09-25,7544
528,2020-09-26,2049
529,2020-09-27,2489
530,2020-09-28,7778
531,2020-09-29,7678
532,2020-09-30,3185
533,2020-10-01,4622
534,2020-10-02,5122
535,2020-10-03,8663
536,2020-10-04,6080
537,2020-10-05,3652
538,2020-10-06,8539
539,2020-10-07,4993
540,2020-10-08,6732
541,2020-10-09,1894
542,2020-10-10,595
543,2020-10-11,1546
544,2020-10-12,5212
545,2020-10-13,6091
546,2020-10-14,3085
547,2020-10-15,5153
548,2020-10-16,4589
549,2020-10-17,8161
550,2020-10-18,9306
551,2020-10-19,6638
552,2020-10-20,8573
553,2020-10-21,7609
554,2020-10-22,9584
555,2020-10-23,3101
556,2020-10-24,6907
557,2020-10-25,3768
558,2020-10-26,8979
559,2020-10-27,6898
560,2020-10-28,7954
561,2020-10-29,9351
562,2020-10-30,8674
563,2020-10-31,1232
564,2020-11-01,5654
565,2020-11-02,2589
566,2020-11-03,5128
567,2020-11-04,640
568,2020-11-05,3017
569,2020-11-06,2707
570,2020-11-07,7657
571,2020-11-08,8455
572,2020-11-09,356
573,2020-11-10,9810
574,2020-11-11,3133
575,2020-11-12,1397
576,2020-11-13,8700
577,2020-11-14,1389
578,2020-11-15,5415
579,2020-11-16,6272
580,2020-11-17,3837
581,2020-11-18,5771
582,2020-11-19,1422
583,2020-11-20,9413
584,2020-11-21,4732
585,2020-11-22,1542
586,2020-11-23,5690
587,2020-11-24,9717
588,2020-11-25,9199
589,2020-11-26,723
590,2020-11-27,6955
591,2020-11-28,3728
592,2020-11-29,5763
593,2020-11-30,9319
594,2020-12-01,7733
595,2020-12-02,8715
596,2020-12-03,7840
597,2020-12-04,6266
598,2020-12-05,7060
599,2020-12-06,4812
600,2020-12-07,3744
601,2020-12-08,3790
602,2020-12-09,6981
603,2020-12-10,2659
604,2020-12-11,5729
605,2020-12-12,2103
606,2020-12-13,6896
607,2020-12-14,9789
608,2020-12-15,9956
609,2020-12-16,183
610,2020-12-17,7739
611,2020-12-18,2744
612,2020-12-19,7851
613,2020-12-20,8669
614,2020-12-21,4471
615,2020-12-22,5102
616,2020-12-23,3784
617,2020-12-24,5045
618,2020-12-25,9682
619,2020-12-26,2756
620,2020-12-27,5094
621,2020-12-28,9942
622,2020-12-29,1941
623,2020-12-30,3216
624,2020-12-31,4376
625,2021-01-01,4266
626,2021-01-02,4530
627,2021-01-03,3190
628,2021-01-04,7266
629,2021-01-05,5713
630,2021-01-06,4126
631,2021-01-07,8117
632,2021-01-08,5021
633,2021-01-09,5735
634,2021-01-10,2336
635,2021-01-11,2519
636,2021-01-12,5250
637,2021-01-13,2022
638,2021-01-14,2322
639,2021-01-15,746
640,2021-01-16,4710
641,2021-01-17,4543
642,2021-01-18,1994
643,2021-01-19,8232
644,2021-01-20,5835
645,2021-01-21,9071
646,2021-01-22,6752
647,2021-01-23,9352
648,2021-01-24,2440
649,2021-01-25,5512
650,2021-01-26,8099
651,2021-01-27,6630
652,2021-01-28,7946
653,2021-01-29,5084
654,2021-01-30,7463
655,2021-01-31,9295
656,2021-02-01,3564
657,2021-02-02,4189
658,2021-02-03,2437
659,2021-02-04,4304
660,2021-02-05,9958
661,2021-02-06,2289
662,2021-02-07,683
663,2021-02-08,6414
664,2021-02-09,8772
665,2021-02-10,3740
666,2021-02-11,3131
667,2021-02-12,5089
668,2021-02-13,7464
669,2021-02-14,2148
670,2021-02-15,6589
671,2021-02-16,3276
672,2021-02-17,3834
673,2021-02-18,4978
674,2021-02-19,2157
675,2021-02-20,1205
676,2021-02-21,4449
677,2021-02-22,953
678,2021-02-23,9589
679,2021-02-24,9277
680,2021-02-25,4101
681,2021-02-26,6086
682,2021-02-27,1087
683,2021-02-28,363
684,2021-03-01,681
685,2021-03-02,3712
686,2021-03-03,2707
687,2021-03-04,9114
688,2021-03-05,2527
689,2021-03-06,853
690,2021-03-07,9237
691,2021-03-08,518
692,2021-03-09,9951
693,2021-03-10,9140
694,2021-03-11,3907
695,2021-03-12,2032
696,2021-03-13,4525
697,2021-03-14,1226
698,2021-03-15,2190
699,2021-03-16,3088
700,2021-03-17,5400
701,2021-03-18,3893
702,2021-03-19,688
703,2021-03-20,6923
704,2021-03-21,8402
705,2021-03-22,8795
706,2021-03-23,887
707,2021-03-24,4579
708,2021-03-25,9951
709,2021-03-26,8288
710,2021-03-27,3331
711,2021-03-28,2940
712,2021-03-29,9072
713,2021-03-30,1571
714,2021-03-31,1586
715,2021-04-01,3959
716,2021-04-02,1942
717,2021-04-03,689
718,2021-04-04,6013
719,2021-04-05,4604
720,2021-04-06,3097
721,2021-04-07,6494
722,2021-04-08,2332
723,2021-04-09,402
724,2021-04-10,7015
725,2021-04-11,4327
726,2021-04-12,6532
727,2021-04-13,8147
728,2021-04-14,2237
729,2021-04-15,4276
730,2021-04-16,478
731,2021-04-17,2686
732,2021-04-18,7436
733,2021-04-19,6273
734,2021-04-20,7535
735,2021-04-21,6977
736,2021-04-22,3281
737,2021-04-23,1154
738,2021-04-24,2975
739,2021-04-25,9601
740,2021-04-26,7094
741,2021-04-27,2957
742,2021-04-28,6744
743,2021-04-29,9666
744,2021-04-30,6037
745,2021-05-01,5799
746,2021-05-02,3767
747,2021-05-03,6302
748,2021-05-04,305
749,2021-05-05,5118
750,2021-05-06,4309
751,2021-05-07,8849
752,2021-05-08,1225
753,2021-05-09,8381
754,2021-05-10,258
755,2021-05-11,1059
756,2021-05-12,7146
757,2021-05-13,7645
758,2021-05-14,6695
759,2021-05-15,5698
760,2021-05-16,5671
761,2021-05-17,4242
762,2021-05-18,7637
763,2021-05-19,8958
764,2021-05-20,3220
765,2021-05-21,7588
766,2021-05-22,5857
767,2021-05-23,7751
768,2021-05-24,5398
769,2021-05-25,1507
770,2021-05-26,6077
771,2021-05-27,4766
772,2021-05-28,9100
773,2021-05-29,7294
774,2021-05-30,9417
775,2021-05-31,5404
776,2021-06-01,5290
777,2021-06-02,4764
778,2021-06-03,2610
779,2021-06-04,764
780,2021-06-05,1125
781,2021-06-06,2583
782,2021-06-07,5315
783,2021-06-08,260
784,2021-06-09,3985
785,2021-06-10,7491
786,2021-06-11,3676
787,2021-06-12,1877
788,2021-06-13,9880
789,2021-06-14,7625
790,2021-06-15,4071
791,2021-06-16,636
792,2021-06-17,9754
793,2021-06-18,7558
794,2021-06-19,839
795,2021-06-20,2418
796,2021-06-21,910
797,2021-06-22,2704
798,2021-06-23,2980
799,2021-06-24,1943
800,2021-06-25,2494
801,2021-06-26,5606
802,2021-06-27,8370
803,2021-06-28,2930
804,2021-06-29,6514
805,2021-06-30,8061
806,2021-07-01,4939
807,2021-07-02,5551
808,2021-07-03,4980
809,2021-07-04,7864
810,2021-07-05,618
811,2021-07-06,3099
812,2021-07-07,1804
813,2021-07-08,916
814,2021-07-09,3939
815,2021-07-10,7359
816,2021-07-11,8806
817,2021-07-12,3984
818,2021-07-13,8085
819,2021-07-14,1202
820,2021-07-15,717
821,2021-07-16,1896
822,2021-07-17,4822
823,2021-07-18,1393
824,2021-07-19,1296
825,2021-07-20,7930
826,2021-07-21,4388
827,2021-07-22,2976
828,2021-07-23,9688
829,2021-07-24,2193
830,2021-07-25,9733
831,2021-07-26,3898
832,2021-07-27,769
833,2021-07-28,7770
834,2021-07-29,4094
835,2021-07-30,3807
836,2021-07-31,7849
837,2021-08-01,2253
838,2021-08-02,6780
839,2021-08-03,7723
840,2021-08-04,1580
841,2021-08-05,162
842,2021-08-06,7840
843,2021-08-07,4626
844,2021-08-08,7501
845,2021-08-09,5745
846,2021-08-10,6801
847,2021-08-11,2190
848,2021-08-12,8184
849,2021-08-13,9897
850,2021-08-14,5401
851,2021-08-15,8449
852,2021-08-16,6557
853,2021-08-17,1872
854,2021-08-18,5695
855,2021-08-19,6541
856,2021-08-20,3566
857,2021-08-21,790
858,2021-08-22,5299
859,2021-08-23,677
860,2021-08-24,2197
861,2021-08-25,2477
862,2021-08-26,705
863,2021-08-27,504
864,2021-08-28,2707
865,2021-08-29,5659
866,2021-08-30,9968
867,2021-08-31,805
868,2021-09-01,2809
869,2021-09-02,5303
870,2021-09-03,8462
871,2021-09-04,4896
872,2021-09-05,3169
873,2021-09-06,3876
874,2021-09-07,4677
875,2021-09-08,2824
876,2021-09-09,5641
877,2021-09-10,9087
878,2021-09-11,426
879,2021-09-12,2827
880,2021-09-13,5964
881,2021-09-14,1215
882,2021-09-15,4219
883,2021-09-16,9673
884,2021-09-17,1086
885,2021-09-18,4122
886,2021-09-19,6082
887,2021-09-20,3468
888,2021-09-21,7645
889,2021-09-22,7174
890,2021-09-23,4434
891,2021-09-24,441
892,2021-09-25,1840
893,2021-09-26,7463
894,2021-09-27,2877
895,2021-09-28,9585
896,2021-09-29,207
897,2021-09-30,1949
898,2021-10-01,3861
899,2021-10-02,4455
900,2021-10-03,5394
901,2021-10-04,2293
902,2021-10-05,6863
903,2021-10-06,1855
904,2021-10-07,7520
905,2021-10-08,2946
906,2021-10-09,7193
907,2021-10-10,8294
908,2021-10-11,9803
909,2021-10-12,7890
910,2021-10-13,1487
911,2021-10-14,4304
912,2021-10-15,5341
913,2021-10-16,8558
914,2021-10-17,6282
915,2021-10-18,7995
916,2021-10-19,6028
917,2021-10-20,9728
918,2021-10-21,6439
919,2021-10-22,5559
920,2021-10-23,4358
921,2021-10-24,3513
922,2021-10-25,1452
923,2021-10-26,9970
924,2021-10-27,5605
925,2021-10-28,4740
926,2021-10-29,7884
927,2021-10-30,6704
928,2021-10-31,7688
929,2021-11-01,1816
930,2021-11-02,8391
931,2021-11-03,813
932,2021-11-04,9021
933,2021-11-05,6000
934,2021-11-06,6216
935,2021-11-07,6210
936,2021-11-08,5465
937,2021-11-09,9237
938,2021-11-10,150
939,2021-11-11,261
940,2021-11-12,8774
941,2021-11-13,9676
942,2021-11-14,5431
943,2021-11-15,5154
944,2021-11-16,4454
945,2021-11-17,1013
946,2021-11-18,359
947,2021-11-19,8512
948,2021-11-20,3406
949,2021-11-21,100
950,2021-11-22,4966
951,2021-11-23,2912
952,2021-11-24,1223
953,2021-11-25,1223
954,2021-11-26,3935
955,2021-11-27,848
956,2021-11-28,1133
957,2021-11-29,2372
958,2021-11-30,4750
959,2021-12-01,3968
960,2021-12-02,1067
961,2021-12-03,9296
962,2021-12-04,7618
963,2021-12-05,8135
964,2021-12-06,6690
965,2021-12-07,5093
966,2021-12-08,4077
967,2021-12-09,6508
968,2021-12-10,7143
969,2021-12-11,6989
970,2021-12-12,3037
971,2021-12-13,179
972,2021-12-14,4758
973,2021-12-15,3654
974,2021-12-16,1838
975,2021-12-17,3794
976,2021-12-18,4409
977,2021-12-19,7854
978,2021-12-20,3199
979,2021-12-21,7982
980,2021-12-22,2789
981,2021-12-23,1271
982,2021-12-24,5515
983,2021-12-25,9011
984,2021-12-26,697
985,2021-12-27,3532
986,2021-12-28,4617
987,2021-12-29,2136
988,2021-12-30,4908
989,2021-12-31,8552
990,2022-01-01,5535
991,2022-01-02,6835
992,2022-01-03,2863
993,2022-01-04,3681
994,2022-01-05,6844
995,2022-01-06,4275
996,2022-01-07,6777
997,2022-01-08,4755
998,2022-01-09,1766
999,2022-01-10,8072
1000,2022-01-11,5596
1001,2022-01-12,6591
1002,2022-01-13,3313
1003,2022-01-14,1280
1004,2022-01-15,5442
1005,2022-01-16,7512
1006,2022-01-17,8069
1007,2022-01-18,1196
1008,2022-01-19,2926
1009,2022-01-20,4102
1010,2022-01-21,1894
1011,2022-01-22,9641
1012,2022-01-23,456
1013,2022-01-24,4218
1014,2022-01-25,8057
1015,2022-01-26,243
1016,2022-01-27,5527
1017,2022-01-28,5859
1018,2022-01-29,1918
1019,2022-01-30,7302
1020,2022-01-31,3462
1021,2022-02-01,771
1022,2022-02-02,8872
1023,2022-02-03,4244
1024,2022-02-04,5920
1025,2022-02-05,3290
1026,2022-02-06,8140
1027,2022-02-07,2887
1028,2022-02-08,8970
1029,2022-02-09,1716
1030,2022-02-10,6510
1031,2022-02-11,9445
1032,2022-02-12,3822
1033,2022-02-13,4569
1034,2022-02-14,6938
1035,2022-02-15,8577
1036,2022-02-16,4240
1037,2022-02-17,1596
1038,2022-02-18,3367
1039,2022-02-19,7030
1040,2022-02-20,7807
1041,2022-02-21,615
1042,2022-02-22,4250
1043,2022-02-23,781
1044,2022-02-24,4222
1045,2022-02-25,5215
1046,2022-02-26,7220
1047,2022-02-27,2621
1048,2022-02-28,3687
1049,2022-03-01,6441
1050,2022-03-02,3615
1051,2022-03-03,4573
1052,2022-03-04,294
1053,2022-03-05,1921
1054,2022-03-06,8321
1055,2022-03-07,8246
1056,2022-03-08,3008
1057,2022-03-09,4437
1058,2022-03-10,3961
1059,2022-03-11,3296
1060,2022-03-12,3634
1061,2022-03-13,6823
1062,2022-03-14,1927
1063,2022-03-15,1794
1064,2022-03-16,7013
1065,2022-03-17,3791
1066,2022-03-18,3246
1067,2022-03-19,9969
1068,2022-03-20,5818
1069,2022-03-21,9179
1070,2022-03-22,8461
1071,2022-03-23,7267
1072,2022-03-24,6633
1073,2022-03-25,279
1074,2022-03-26,6688
1075,2022-03-27,5245
1076,2022-03-28,5429
1077,2022-03-29,4514
1078,2022-03-30,4807
1079,2022-03-31,1086
1080,2022-04-01,792
1081,2022-04-02,537
1082,2022-04-03,2117
1083,2022-04-04,6548
1084,2022-04-05,3154
1085,2022-04-06,9071
1086,2022-04-07,9078
1087,2022-04-08,6554
1088,2022-04-09,8070
1089,2022-04-10,589
1090,2022-04-11,4040
1091,2022-04-12,2586
1092,2022-04-13,7410
1093,2022-04-14,2724
1094,2022-04-15,7740
1095,2022-04-16,4321
1096,2022-04-17,5719
1097,2022-04-18,4189
1098,2022-04-19,7097
1099,2022-04-20,8755
1100,2022-04-21,826
1101,2022-04-22,9053
1102,2022-04-23,5315
1103,2022-04-24,6290
1104,2022-04-25,3783
1105,2022-04-26,8826
1106,2022-04-27,2580
1107,2022-04-28,2338
1108,2022-04-29,774
1109,2022-04-30,7396
1110,2022-05-01,6186
1111,2022-05-02,7401
1112,2022-05-03,7890
1113,2022-05-04,1601
1114,2022-05-05,4652
1115,2022-05-06,928
1116,2022-05-07,9352
1117,2022-05-08,5990
1118,2022-05-09,8518
1119,2022-05-10,2816
1120,2022-05-11,4074
1121,2022-05-12,9105
1122,2022-05-13,5902
1123,2022-05-14,5789
1124,2022-05-15,2890
1125,2022-05-16,9013
1126,2022-05-17,3668
1127,2022-05-18,3809
1128,2022-05-19,7899
1129,2022-05-20,9270
1130,2022-05-21,9679
1131,2022-05-22,9674
1132,2022-05-23,7218
1133,2022-05-24,1043
1134,2022-05-25,5238
1135,2022-05-26,2593
1136,2022-05-27,1595
1137,2022-05-28,3180
1138,2022-05-29,9357
1139,2022-05-30,4118
1140,2022-05-31,8348
1141,2022-06-01,7008
1142,2022-06-02,5086
1143,2022-06-03,5940
1144,2022-06-04,7956
1145,2022-06-05,2470
1146,2022-06-06,6824
1147,2022-06-07,9051
1148,2022-06-08,4506
1149,2022-06-09,3643
1150,2022-06-10,2523
1151,2022-06-11,3061
1152,2022-06-12,4000
1153,2022-06-13,6557
1154,2022-06-14,7982
1155,2022-06-15,3462
1156,2022-06-16,9913
1157,2022-06-17,416
1158,2022-06-18,5750
1159,2022-06-19,7294
